id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
2209_325,"Ghế trẻ em HAPPY","Việt Nam",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/happy_children_chair_natural_narce_wood_uma_2209_corner.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ghe-tre-em-happy/,"Nội thất cho bé","Chí Trung",799000VND,in stock,2209_325,https://chitrung.bmic.edu.vn/cart/?add-to-cart=325,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,799000VND,new,published,,
1061604_324,"Ghế bành trẻ em TINTIN","moo tar san pham",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/tintin_children_armchair_uma_1061604_1.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ghe-banh-tre-em-tintin/,"Nội thất cho bé","Chí Trung",699000VND,in stock,1061604_324,https://chitrung.bmic.edu.vn/cart/?add-to-cart=324,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,500000VND,new,published,,
4673_323,"Ghế bành trẻ em VIKING-JUNIOR","Chiếc ghế bành trẻ em VIKING JUNIOR mang thiết kế tạo sự thoải mái cho người ngồi với khung gỗ chắc chắn và đệm ngồi êm ái. Vỏ bọc đệm ngồi đi kèm dây kéo nên bạn có thể tháo ra để làm vệ sinh. Đệm ngồi có màu sắc sinh động, khiến trẻ vô cùng thích thú.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ghe-banh-tre-em-viking-junior-4673-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ghe-banh-tre-em-viking-junior/,"Nội thất cho bé","Chí Trung",699000VND,in stock,4673_323,https://chitrung.bmic.edu.vn/cart/?add-to-cart=323,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,500000VND,new,published,,
2219_322,"Ghế trẻ em KID","Đến với nội thất BAYA, chọn về cho bé ghế ăn trẻ em KID từ gỗ cao su bền chắc. Sản phẩm có thiết kế đẹp mắt và vững chãi, giữ nguyên màu gỗ tự nhiên, điểm nhấn làm đẹp gian phòng. Bạn có thể kết hợp cùng các sản phẩm trong cùng bộ sưu tập KID để hoàn thiện không gian sống của mình.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ghe-tre-em-kid-2219-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ghe-tre-em-kid/,"Nội thất cho bé","Chí Trung",599000VND,in stock,2219_322,https://chitrung.bmic.edu.vn/cart/?add-to-cart=322,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,599000VND,new,published,,
1096286_315,"Kệ trang trí CONNEMARA","Kệ trưng bày CONNEMARA - một thiết kế đặc biệt của BAYA là nơi bạn sắp xếp những vật dụng yêu thích như khung hình, ly rượu và các phụ kiện khác. Khung kệ làm từ thép sơn tĩnh điện bền chắc, đường bo cạnh và vít trang trí với màu đen mờ phối vàng đồng sáng là điểm nhấn bắt mắt đem lại vẻ đẹp sang trọng, hiện đại cho không gian.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/CONNEMARA_Art_shelf_UMA_1096286_1.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ke-trang-tri-connemara/,"Tủ kệ","Chí Trung",299000VND,in stock,1096286_315,https://chitrung.bmic.edu.vn/cart/?add-to-cart=315,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,299000VND,new,published,,
2059_314,"Móc treo đồ CATCH","Móc treo đồ tiện ích CATCH có thiết kế gọn nhẹ và dễ lắp đặt, giúp hoàn thiện nội thất ngôi nhà hiện đại ngay từ sảnh và lối vào. Sản phẩm được làm từ gỗ keo với 3 đầu móc kim loại phủ sơn cho độ bền cao, dễ sử dụng và vẻ ngoài đẹp mắt.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/moc-treo-do-catch-2059-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/moc-treo-do-catch/,"Sản phẩm gắn tường","Chí Trung",89000VND,in stock,2059_314,https://chitrung.bmic.edu.vn/cart/?add-to-cart=314,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,89000VND,new,published,,
1096248_316,"Móc treo đồ CONNEMARA","Giá treo CONNEMARA - một thiết kế đặc biệt của BAYA là nơi bạn sắp xếp những phụ kiện cần thiết phù hợp với mọi không gian. Sản phẩm làm từ thép sơn tĩnh điện bền chắc, đường bo cạnh và móc treo với màu đen mờ phối vàng đồng sáng là điểm nhấn bắt mắt đem lại vẻ đẹp sang trọng, hiện đại cho ngôi nhà bạn.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/CONNEMARA_Knob_rack_UMA_1096248_1.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/moc-treo-do-connemara/,"Sản phẩm gắn tường","Chí Trung",449000VND,in stock,1096248_316,https://chitrung.bmic.edu.vn/cart/?add-to-cart=316,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,449000VND,new,published,,
5048Sản phẩm gồm:• 01 x Bàn trẻ em PIGLET.• 02 x Ghế trẻ em PIGLET._317,"Bộ bàn ghế trẻ em PIGLET","Việt Nam",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/5048.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/bo-ban-ghe-tre-em-piglet/,"Nội thất cho bé","Chí Trung",1290000VND,in stock,5048Sản phẩm gồm:• 01 x Bàn trẻ em PIGLET.• 02 x Ghế trẻ em PIGLET._317,https://chitrung.bmic.edu.vn/cart/?add-to-cart=317,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1290000VND,new,published,,
2196_318,"Bàn trẻ em KID","Bàn trẻ em KID được thiết kế đơn giản trên gam màu gỗ sáng trang nhã đem lại vẻ đẹp mộc mạc và cảm giác dễ chịu cho không gian riêng của trẻ. Chất liệu gỗ cao su bền chắc, được đánh bóng bề mặt cho vẻ ngoài nhẵn đẹp, hạn chế vết bẩn và trầy xước. Chiếc bàn vừa là nơi con học bài, vừa có thể thư giãn với những món đồ chơi ưa thích.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ban-tre-em-kid-2196-1-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ban-tre-em-kid/,"Bàn, Nội thất cho bé","Chí Trung",999000VND,in stock,2196_318,https://chitrung.bmic.edu.vn/cart/?add-to-cart=318,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,999000VND,new,published,,
2200_319,"Bàn trẻ em PIGLET","Bàn trẻ em PIGLET của nội thất BAYA làm từ gỗ cao su, thân bàn sơn trắng phối mặt bàn màu gỗ tự nhiên. Sản phẩm thiết kế an toàn, các góc cạnh bo tròn, chiều cao phù hợp với bé. Ba mẹ hoàn toàn có thể yên tâm khi chọn mua bàn trẻ em PIGLET.",https://chitrung.bmic.edu.vn/wp-content/uploads/2020/04/ban-tre-em-piglet-2200-baya.vn_.jpg,https://chitrung.bmic.edu.vn/sản%20phẩm/ban-tre-em-piglet/,"Bàn, Nội thất cho bé","Chí Trung",899000VND,in stock,2200_319,https://chitrung.bmic.edu.vn/cart/?add-to-cart=319,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,899000VND,new,published,,
