"|","|__tenSp","|__maSp","|__giaSp","|__kichCo","|__chatLieu","|__xuatSu","|__moTa","|__nameImg"
"ban","Bàn ăn BIANCA","4379","2990000","L34/132xW85xH76","Gỗ cao su","Việt Nam","Bàn ăn BIANCA với thiết kế có thể mở rộng thích hợp cho không gian nhỏ hẹp. Sản phẩm còn có 2 hộc kéo dành cho các dụng cụ ăn. Hãy bổ sung ghế xếp trong cùng bộ sưu tập BIANCA để có bộ bàn ăn hoàn chỉnh. Khi không sử dụng, bạn có thể đặt gọn ghế vào gầm bàn.","ban-an-bianca-4379-1-baya.vn.jpg"
"","Bàn cà phê TREVOR","4159","2990000","L120xW60xH39","Màu trắng","MDF","Bàn cà phê TREVOR với thiết kế đơn giản, hiện đại với ngăn chứa bên dưới và bao gồm 2 kích cỡ. Hãy kết hợp cùng kệ tivi TREVOR để hoàn thiện góc thư giãn trong phòng khách.","ban-ca-phe-trevor-4159-1-baya.vn.jpg"
"","Bàn ăn QATAR","321","2990000","L160xW80xH75","Gỗ cao su","Việt Nam","Bàn ăn QATAR vững chắc và đẹp tự nhiên. Hãy kết hợp với ghế ăn QATAR để có bộ sản phẩm hoàn chỉnh.","ban-an-qatar-321-1-baya.vn.jpg"
"","Bàn ăn MOZART","313","1990000","L120xW75xH73","Màu trắng","Gỗ cao su","Bàn ăn MOZART do BAYA thiết kế đem đến vẻ đẹp sang trọng cho không gian dùng bữa. Chân bàn phủ sơn trắng trang nhã kết hợp mặt gỗ màu sắc tự nhiên. Hãy bổ sung thêm các món nội thất khác trong bộ sưu tập MOZART.","ban-an-mozart-313-1-baya.vn.jpg"
"","Bàn ăn KITKA","307","3490000","L150xW90xH75","Màu gỗ đậm","Gỗ cao su","Bàn ăn phong cách Á Châu cổ điển với khung chắc chắn và màu sắc ấm áp. Xem thêm nhiều sản phẩm hơn trong bộ sưu tập nội thất KITKA từ BAYA.","ban-an-kitka-307-1-baya.vn_1.jpg"
"","Bàn ăn DYNAMO","298","2990000","L160xW80xH75","Gỗ keo/ gỗ","Việt Nam","Với thiết kế đơn giản và thanh lịch, bàn ăn DYNAMO thích hợp với không gian phòng ăn hiện đại. Chân bàn từ gỗ keo đặc và mặt bàn phủ veneer giúp tăng thêm độ bền và vẻ đẹp cho sản phẩm. Kết hợp bàn cùng ghế ăn trong cùng bộ sưu tập DYNAMO để hoàn thiện phòng ăn sang trọng của gia đình bạn.","ban-an-dynamo-298-baya.vn.jpg"
"","Bàn cà phê CLARK","211","2290000","L110xW65xH40","Màu đen","Gỗ keo","Bàn cà phê CLARK với thiết kế nhỏ gọn là điểm nhấn độc đáo tô điểm cho không gian phòng khách của bạn. Sản phẩm làm từ gỗ keo bền chắc cùng màu sơn đen tạo vẻ ngoài tinh tế, phù hợp với những ai yêu thích phong cách đơn giản, tiện nghi và hiện đại.","ban-ca-phe-clark-211-baya.vn.jpg"
"","Bàn ngoài trời RIVIERA","1098716","599000","L55xW54xH71","Màu đen","Gỗ keo/ kim loại","Bàn ngoài trời RIVIERA là lựa chọn hoàn hảo cho khu vườn nhà của bạn. Thiết kế đơn giản, ấn tượng với khung kim loại bền bỉ có thể gấp gọn và dễ di chuyển giúp tiết kiệm diện tích. Sản phẩm sở hữu mặt gỗ với màu sắc hiện đại, đẹp mắt và góp phần hoàn thiện không gian sống của gia đình bạn.","RIVIERA_Outdoor_Table_UMA_1098716_1_2.jpg"
"","Bàn cà phê CONNEMARA","1096538","3290000","L120xW50xH40","Nhiều màu","Sồi veneer / Gỗ cao su / MDF","Bàn café CONNEMARA là một thiết kế đặc biệt của BAYA, lấy cảm hứng từ phong cách Art Deco ấn tượng. Mặt bàn phủ veneer gỗ sồi với vân gỗ đối xứng, cùng những đường bo cạnh và kiểu dáng chân bàn hiện đại mang lại vẻ đẹp cá tính cho không gian thư giãn của bạn. Kết hợp đầy đủ bộ sưu tập CONNEMARA để hoàn thiện việc bày trí ngôi nhà sang trọng và ấm cúng.","CONNEMARA_Coffee_table_UMA_1096538_1_1.jpg"
"","Bàn góc CONNEMARA","1096521","1190000","L45xW39xH60","Nhiều màu","Sồi veneer / Gỗ cao su / MDF","Bàn góc CONNEMARA - một thiết kế đặc biệt của BAYA là nơi bạn có thể đặt những ly cocktail ưa thích. Mặt bàn phủ veneer gỗ sồi với vân gỗ đối xứng, cùng những đường bo cạnh và kiểu dáng chân bàn lạ mắt mang lại vẻ đẹp cá tính cho không gian thư giãn của bạn. Kết hợp đầy đủ bộ sưu tập CONNEMARA để hoàn thiện việc bày trí ngôi nhà sang trọng và ấm cúng.","CONNEMARA_Nesting_tables_UMA_1096521_1.jpg"
"","Bàn cà phê AMADEUS","1094022","24950004,990,000","L120xW60xH45","Màu xám","Sồi / gỗ keo","Bàn cafe AMADEUS được BAYA thiết kế với mặt bàn gỗ sồi màu mật ong cùng đường bo cạnh oval cách điệu cho phòng khách của bạn một nét đẹp cổ điển. Mặt bàn làm từ gỗ sồi đặc phủ PU dễ lau chùi, hạn chế các vết xước và bền chắc theo thời gian. Ngăn kéo sử dụng được hai chiều và phần kệ mở phía dưới cho bạn thoải mái cất giữ các vật dụng cần thiết.","AMADEUS_Coffee_table_UMA_1094022_1.jpg"
"","Bàn cà phê ALBANY","1089202","2990000","L120xW70xH40","Màu gỗ đậm","Sồi veneer / Sồi / MDF","Nằm trong bộ sưu tập ALBANY làm từ chất liệu gỗ sồi tự nhiên bền chắc, bàn cà phê ALBANY có kiểu dáng truyền thống với chân bàn thấp làm từ gỗ sồi đặc. Mặt bàn được làm từ gỗ MDF chống ẩm phủ lớp veneer màu gỗ sậm đẹp mắt và sang trọng. Sản phẩm thích hợp với những gia đình có nội thất theo phong cách châu Á hiện đại tối giản đầy tinh tế.","ban-ca-phe-albany-1089202-1.jpg"
